PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 18321 Generations: 1144 Cycletime: 1
Spiralint: 18369 Generations: 1144 Cycletime: 1
Spiralint: 18405 Generations: 1143 Cycletime: 1
Spiralint: 18604 Generations: 1202 Cycletime: 1
Spiralint: 18755 Generations: 1147 Cycletime: 1
Spiralint: 18758 Generations: 1202 Cycletime: 1
Spiralint: 18796 Generations: 1202 Cycletime: 1
Spiralint: 18860 Generations: 1202 Cycletime: 1
Spiralint: 18980 Generations: 1418 Cycletime: 1
Spiralint: 19388 Generations: 1328 Cycletime: 1
Spiralint: 19574 Generations: 1413 Cycletime: 1
Spiralint: 19867 Generations: 2286 Cycletime: 1
Spiralint: 20020 Generations: 1102 Cycletime: 1
Spiralint: 20021 Generations: 1413 Cycletime: 1
Spiralint: 20053 Generations: 1413 Cycletime: 1
Spiralint: 20094 Generations: 1149 Cycletime: 1
Spiralint: 20222 Generations: 1364 Cycletime: 1
Spiralint: 20348 Generations: 1149 Cycletime: 1
Spiralint: 20389 Generations: 2713 Cycletime: 1
Spiralint: 20396 Generations: 1213 Cycletime: 1
Spiralint: 20426 Generations: 1000 Cycletime: 1
Spiralint: 20550 Generations: 1284 Cycletime: 1
Spiralint: 20588 Generations: 1202 Cycletime: 1
Spiralint: 20678 Generations: 1202 Cycletime: 1
Spiralint: 20679 Generations: 1145 Cycletime: 1
Spiralint: 20727 Generations: 1414 Cycletime: 1
Spiralint: 20780 Generations: 1284 Cycletime: 1
Spiralint: 20919 Generations: 1414 Cycletime: 1
Spiralint: 21164 Generations: 1202 Cycletime: 1
Spiralint: 21356 Generations: 1202 Cycletime: 1
Spiralint: 21450 Generations: 1144 Cycletime: 1
Spiralint: 21466 Generations: 1031 Cycletime: 1
Spiralint: 21604 Generations: 1284 Cycletime: 1
Spiralint: 21719 Generations: 1419 Cycletime: 1
Spiralint: 21915 Generations: 2286 Cycletime: 1
Spiralint: 22019 Generations: 1285 Cycletime: 1
Spiralint: 22107 Generations: 2286 Cycletime: 1
Spiralint: 22171 Generations: 2286 Cycletime: 1
Spiralint: 22187 Generations: 1041 Cycletime: 1
Spiralint: 22372 Generations: 1200 Cycletime: 1
Spiralint: 22389 Generations: 1012 Cycletime: 1
Spiralint: 22408 Generations: 1204 Cycletime: 1
Spiralint: 22467 Generations: 1143 Cycletime: 1
Spiralint: 22488 Generations: 1031 Cycletime: 1
Spiralint: 22498 Generations: 1143 Cycletime: 1
Spiralint: 23556 Generations: 1063 Cycletime: 1
Spiralint: 23620 Generations: 1063 Cycletime: 1
Spiralint: 23654 Generations: 1149 Cycletime: 1
Spiralint: 23666 Generations: 1031 Cycletime: 1
Spiralint: 23689 Generations: 1204 Cycletime: 1
Spiralint: 23793 Generations: 1137 Cycletime: 1
Spiralint: 23797 Generations: 1037 Cycletime: 1
Spiralint: 23978 Generations: 1086 Cycletime: 1
Spiralint: 24077 Generations: 1037 Cycletime: 1
Spiralint: 24186 Generations: 1434 Cycletime: 1
Spiralint: 24243 Generations: 1937 Cycletime: 1
Spiralint: 24252 Generations: 1025 Cycletime: 1
Spiralint: 24300 Generations: 1025 Cycletime: 1
Spiralint: 24314 Generations: 1061 Cycletime: 1
Spiralint: 24501 Generations: 1305 Cycletime: 1
Spiralint: 24548 Generations: 1098 Cycletime: 1
Spiralint: 24564 Generations: 1348 Cycletime: 1
Spiralint: 24615 Generations: 1416 Cycletime: 1
Spiralint: 24741 Generations: 1415 Cycletime: 1
Spiralint: 24760 Generations: 1201 Cycletime: 1
Spiralint: 24823 Generations: 1414 Cycletime: 1
Spiralint: 24888 Generations: 1201 Cycletime: 1
Spiralint: 24929 Generations: 1285 Cycletime: 1
Spiralint: 24999 Generations: 1414 Cycletime: 1
Spiralint: 25015 Generations: 1414 Cycletime: 1
Spiralint: 25127 Generations: 1415 Cycletime: 1
Spiralint: 25189 Generations: 1415 Cycletime: 1
Spiralint: 25267 Generations: 1285 Cycletime: 1
Spiralint: 25314 Generations: 1146 Cycletime: 1
Spiralint: 25391 Generations: 1419 Cycletime: 1
Spiralint: 25611 Generations: 1416 Cycletime: 1
Spiralint: 25675 Generations: 1415 Cycletime: 1
Spiralint: 25701 Generations: 1415 Cycletime: 1
Spiralint: 25807 Generations: 1419 Cycletime: 1
Spiralint: 25808 Generations: 1418 Cycletime: 1
Spiralint: 25815 Generations: 1419 Cycletime: 1
Spiralint: 25866 Generations: 1415 Cycletime: 1
Spiralint: 25957 Generations: 1414 Cycletime: 1
Spiralint: 25995 Generations: 1414 Cycletime: 1
Spiralint: 26004 Generations: 1202 Cycletime: 1
Spiralint: 26011 Generations: 2286 Cycletime: 1
Spiralint: 26154 Generations: 1415 Cycletime: 1
Spiralint: 26186 Generations: 1415 Cycletime: 1
Spiralint: 26203 Generations: 2286 Cycletime: 1
Spiralint: 26242 Generations: 1285 Cycletime: 1
Spiralint: 26267 Generations: 2286 Cycletime: 1
Spiralint: 26282 Generations: 1414 Cycletime: 1
Spiralint: 26330 Generations: 2286 Cycletime: 1
Spiralint: 26433 Generations: 1146 Cycletime: 1
Spiralint: 26485 Generations: 1012 Cycletime: 1
Spiralint: 26584 Generations: 1031 Cycletime: 1
Spiralint: 26771 Generations: 1415 Cycletime: 1
Spiralint: 26867 Generations: 1414 Cycletime: 1
Spiralint: 26899 Generations: 1415 Cycletime: 1
Spiralint: 26983 Generations: 2286 Cycletime: 1
Spiralint: 27047 Generations: 2286 Cycletime: 1
Spiralint: 27048 Generations: 1202 Cycletime: 1
Spiralint: 27059 Generations: 1414 Cycletime: 1
Spiralint: 27063 Generations: 2286 Cycletime: 1
Spiralint: 27239 Generations: 2286 Cycletime: 1
Spiralint: 27250 Generations: 1413 Cycletime: 1
Spiralint: 27384 Generations: 1345 Cycletime: 1
Spiralint: 27424 Generations: 1418 Cycletime: 1
Spiralint: 27435 Generations: 1419 Cycletime: 1
Spiralint: 27493 Generations: 2286 Cycletime: 1
Spiralint: 27620 Generations: 1031 Cycletime: 1
Spiralint: 27762 Generations: 1413 Cycletime: 1
Spiralint: 27780 Generations: 1201 Cycletime: 1
Spiralint: 27908 Generations: 1201 Cycletime: 1
Spiralint: 27971 Generations: 1285 Cycletime: 1
Spiralint: 28016 Generations: 1413 Cycletime: 1
Spiralint: 28019 Generations: 1012 Cycletime: 1
Spiralint: 28043 Generations: 1414 Cycletime: 1
Spiralint: 28051 Generations: 1414 Cycletime: 1
Spiralint: 28059 Generations: 2286 Cycletime: 1
Spiralint: 28209 Generations: 1413 Cycletime: 1
Spiralint: 28241 Generations: 1413 Cycletime: 1
Spiralint: 28273 Generations: 1225 Cycletime: 1
Spiralint: 28274 Generations: 1225 Cycletime: 1
Spiralint: 28336 Generations: 1413 Cycletime: 1
Spiralint: 28339 Generations: 1012 Cycletime: 1
